

14:33:39    IFACE    Ipkts/s      Ibytes/s     Opkts/s      Obytes/s
14:38:59    lo0            0             0           0             0
14:38:59    gif0           0             0           0             0
14:38:59    stf0           0             0           0             0
14:38:59    en0           52         14609           6          1242
14:38:59    en1            0             0           0             0
14:38:59    en2            0             0           0             0
14:38:59    p2p0           0             0           0             0
14:38:59    awdl0          0             0           0             0
14:38:59    bridge0        0             0           0             0

14:39:09    lo0            0             0           0             0
14:39:09    gif0           0             0           0             0
14:39:09    stf0           0             0           0             0
14:39:09    en0           60         18769           3           643
14:39:09    en1            0             0           0             0
14:39:09    en2            0             0           0             0
14:39:09    p2p0           0             0           0             0
14:39:09    awdl0          0             0           0             0
14:39:09    bridge0        0             0           0             0

14:39:19    lo0            0             0           0             0
14:39:19    gif0           0             0           0             0
14:39:19    stf0           0             0           0             0
14:39:19    en0           24          8338           2           523
14:39:19    en1            0             0           0             0
14:39:19    en2            0             0           0             0
14:39:19    p2p0           0             0           0             0
14:39:19    awdl0          0             0           0             0
14:39:19    bridge0        0             0           0             0

14:39:29    lo0            0             0           0             0
14:39:29    gif0           0             0           0             0
14:39:29    stf0           0             0           0             0
14:39:29    en0           17          6679           2           208
14:39:29    en1            0             0           0             0
14:39:29    en2            0             0           0             0
14:39:29    p2p0           0             0           0             0
14:39:29    awdl0          0             0           0             0
14:39:29    bridge0        0             0           0             0

14:39:39    lo0            0             0           0             0
14:39:39    gif0           0             0           0             0
14:39:39    stf0           0             0           0             0
14:39:39    en0           12          3875           3           288
14:39:39    en1            0             0           0             0
14:39:39    en2            0             0           0             0
14:39:39    p2p0           0             0           0             0
14:39:39    awdl0          0             0           0             0
14:39:39    bridge0        0             0           0             0

14:39:49    lo0            0             0           0             0
14:39:49    gif0           0             0           0             0
14:39:49    stf0           0             0           0             0
14:39:49    en0            8          1101           3           282
14:39:49    en1            0             0           0             0
14:39:49    en2            0             0           0             0
14:39:49    p2p0           0             0           0             0
14:39:49    awdl0          0             0           0             0
14:39:49    bridge0        0             0           0             0

14:39:59    lo0            0             0           0             0
14:39:59    gif0           0             0           0             0
14:39:59    stf0           0             0           0             0
14:39:59    en0            5           822           1           196
14:39:59    en1            0             0           0             0
14:39:59    en2            0             0           0             0
14:39:59    p2p0           0             0           0             0
14:39:59    awdl0          0             0           0             0
14:39:59    bridge0        0             0           0             0

14:40:09    lo0            0             0           0             0
14:40:09    gif0           0             0           0             0
14:40:09    stf0           0             0           0             0
14:40:09    en0           12          3368           3           360
14:40:09    en1            0             0           0             0
14:40:09    en2            0             0           0             0
14:40:09    p2p0           0             0           0             0
14:40:09    awdl0          0             0           0             0
14:40:09    bridge0        0             0           0             0

14:40:19    lo0            0             0           0             0
14:40:19    gif0           0             0           0             0
14:40:19    stf0           0             0           0             0
14:40:19    en0           11          2808           1           143
14:40:19    en1            0             0           0             0
14:40:19    en2            0             0           0             0
14:40:19    p2p0           0             0           0             0
14:40:19    awdl0          0             0           0             0
14:40:19    bridge0        0             0           0             0

14:40:29    lo0            0             0           0             0
14:40:29    gif0           0             0           0             0
14:40:29    stf0           0             0           0             0
14:40:29    en0           15          3749           3           299
14:40:29    en1            0             0           0             0
14:40:29    en2            0             0           0             0
14:40:29    p2p0           0             0           0             0
14:40:29    awdl0          0             0           0             0
14:40:29    bridge0        0             0           0             0

14:40:39    lo0            0             0           0             0
14:40:39    gif0           0             0           0             0
14:40:39    stf0           0             0           0             0
14:40:39    en0           59         32080          40          7603
14:40:39    en1            0             0           0             0
14:40:39    en2            0             0           0             0
14:40:39    p2p0           0             0           0             0
14:40:39    awdl0          0             0           0             0
14:40:39    bridge0        0             0           0             0

14:40:49    lo0            0             0           0             0
14:40:49    gif0           0             0           0             0
14:40:49    stf0           0             0           0             0
14:40:49    en0           39         20413          25          5326
14:40:49    en1            0             0           0             0
14:40:49    en2            0             0           0             0
14:40:49    p2p0           0             0           0             0
14:40:49    awdl0          0             0           0             0
14:40:49    bridge0        0             0           0             0

14:40:59    lo0            0             0           0             0
14:40:59    gif0           0             0           0             0
14:40:59    stf0           0             0           0             0
14:40:59    en0           28         12741          26          8172
14:40:59    en1            0             0           0             0
14:40:59    en2            0             0           0             0
14:40:59    p2p0           0             0           0             0
14:40:59    awdl0          0             0           0             0
14:40:59    bridge0        0             0           0             0

14:41:09    lo0            0             0           0             0
14:41:09    gif0           0             0           0             0
14:41:09    stf0           0             0           0             0
14:41:09    en0           25          9413          14          4118
14:41:09    en1            0             0           0             0
14:41:09    en2            0             0           0             0
14:41:09    p2p0           0             0           0             0
14:41:09    awdl0          0             0           0             0
14:41:09    bridge0        0             0           0             0

14:41:19    lo0            0             0           0             0
14:41:19    gif0           0             0           0             0
14:41:19    stf0           0             0           0             0
14:41:19    en0           19          5586           2           561
14:41:19    en1            0             0           0             0
14:41:19    en2            0             0           0             0
14:41:19    p2p0           0             0           0             0
14:41:19    awdl0          0             0           0             0
14:41:19    bridge0        0             0           0             0

14:41:29    lo0            0             0           0             0
14:41:29    gif0           0             0           0             0
14:41:29    stf0           0             0           0             0
14:41:29    en0           45         15643           4           671
14:41:29    en1            0             0           0             0
14:41:29    en2            0             0           0             0
14:41:29    p2p0           0             0           0             0
14:41:29    awdl0          0             0           0             0
14:41:29    bridge0        0             0           0             0

14:41:39    lo0            0             0           0             0
14:41:39    gif0           0             0           0             0
14:41:39    stf0           0             0           0             0
14:41:39    en0           17          6146          11          1706
14:41:39    en1            0             0           0             0
14:41:39    en2            0             0           0             0
14:41:39    p2p0           0             0           0             0
14:41:39    awdl0          0             0           0             0
14:41:39    bridge0        0             0           0             0

14:41:49    lo0            0             0           0             0
14:41:49    gif0           0             0           0             0
14:41:49    stf0           0             0           0             0
14:41:49    en0           18          5239          10          3108
14:41:49    en1            0             0           0             0
14:41:49    en2            0             0           0             0
14:41:49    p2p0           0             0           0             0
14:41:49    awdl0          0             0           0             0
14:41:49    bridge0        0             0           0             0

14:41:59    lo0            0             0           0             0
14:41:59    gif0           0             0           0             0
